airport	runway	bbox	lat1	lng1	lat2	lng2
LROP	08R	{lat:44.564459298325296,lng:26.076777170142606},{lat:44.564862701666755,lng:26.076716829648177},{lat:44.566518788508255,lng:26.09855678350552},{lat:44.56611537368215,lng:26.09861697425983},	44.564661	26.076747	44.567969	26.120428
LROP	26L	{lat:44.5681707131375,lng:26.12039797940386},{lat:44.567767286854625,lng:26.12045802038793},{lat:44.56611537368215,lng:26.098616974259837},{lat:44.566518788508255,lng:26.098556783505522},	44.567969	26.120428	44.564661	26.076747
LROP	26R	{lat:44.58012671519774,lng:26.127734000524285},{lat:44.57972328479441,lng:26.12779399926756},{lat:44.578073870009106,lng:26.105961454065064},{lat:44.57847728896811,lng:26.105901305542663},	44.579925	26.127764	44.576622	26.084100
LSZH	10	{lat:47.45867046641835,lng:8.53743941487216},{lat:47.45920753356663,lng:8.537522585552624},{lat:47.45803920913784,lng:8.554009035516605},{lat:47.45750215392329,lng:8.553925698286918},	47.458939	8.537481	47.456600	8.570453
LSZH	14	{lat:47.48289188799736,lng:8.53443939519453},{lat:47.48325811125319,lng:8.53502660685228},{lat:47.472367533742556,lng:8.549893678330458},{lat:47.4720013863855,lng:8.549306484769227},	47.483075	8.534733	47.461292	8.564461
LSZH	16	{lat:47.47560001590616,lng:8.535573874240033},{lat:47.47582798295373,lng:8.536298127331007},{lat:47.46075041883228,lng:8.54668302347244},{lat:47.46052251717009,lng:8.545958933082193},	47.475714	8.535936	47.445558	8.556700
LSZH	28	{lat:47.456868521621146,lng:8.570494752089918},{lat:47.45633147836371,lng:8.570411248336514},{lat:47.45750215392329,lng:8.553925698286918},{lat:47.45803920913784,lng:8.554009035516605},	47.456600	8.570453	47.458939	8.537481
LSZH	32	{lat:47.46147503537007,lng:8.564754588716909},{lat:47.461108963880505,lng:8.564167413327368},{lat:47.4720013863855,lng:8.549306484769227},{lat:47.47236753374254,lng:8.54989367833046},	47.461292	8.564461	47.483075	8.534733
LSZH	34	{lat:47.44567191759341,lng:8.557061964669124},{lat:47.4454440812674,lng:8.55633803689865},{lat:47.46052251717011,lng:8.54595893308219},{lat:47.4607504188323,lng:8.54668302347244},	47.445558	8.556700	47.475714	8.535936
NZAA	05R	{lat:-37.01722470777854,lng:174.76826401678375},{lat:-37.01684129216363,lng:174.76809798363516},{lat:-37.01165428478166,lng:174.78687972404114},{lat:-37.012037674227244,lng:174.7870458406112},	-37.017033	174.768181	-37.006656	174.805742
NZAA	23L	{lat:-37.00646431833701,lng:174.8056589002374},{lat:-37.006847681605066,lng:174.80582510018166},{lat:-37.012037674227244,lng:174.7870458406112},{lat:-37.01165428478166,lng:174.78687972404114},	-37.006656	174.805742	-37.017033	174.768181
OEJN	16C	{lat:21.694976036422236,lng:39.15127118206046},{lat:21.69516196313156,lng:39.151816818291756},{lat:21.678216586128062,lng:39.15850407661451},{lat:21.678030681285044,lng:39.15795849592516},	21.695069	39.151544	21.661178	39.164917
OEJN	16L	{lat:21.70034909928302,lng:39.16685514707847},{lat:21.700534900270576,lng:39.16740085327364},{lat:21.68358602315561,lng:39.174084611538255},{lat:21.683400244030057,lng:39.173538960932035},	21.700442	39.167128	21.666544	39.180494
OEJN	16R	{lat:21.70266300287427,lng:39.126608180739574},{lat:21.70284899667941,lng:39.12715381961291},{lat:21.686750107320606,lng:39.133510003384636},{lat:21.686564134305595,lng:39.132964417294076},	21.702756	39.126881	21.670558	39.139592
OEJN	34C	{lat:21.661270941276147,lng:39.16518976277459},{lat:21.66108505827839,lng:39.16464423757687},{lat:21.678030681285044,lng:39.15795849592516},{lat:21.678216586128062,lng:39.15850407661451},	21.661178	39.164917	21.695069	39.151544
OEJN	34L	{lat:21.670650975899136,lng:39.13986476685247},{lat:21.670465023655236,lng:39.13931923349929},{lat:21.686564134305595,lng:39.132964417294076},{lat:21.68675010732061,lng:39.133510003384636},	21.670558	39.139592	21.702756	39.126881
OEJN	34R	{lat:21.66663687841947,lng:39.1807667977095},{lat:21.666451121134866,lng:39.18022120264187},{lat:21.683400244030064,lng:39.173538960932035},{lat:21.68358602315562,lng:39.174084611538255},	21.666544	39.180494	21.700442	39.167128
OEMA	17	{lat:24.57635478468647,lng:39.70302249196469},{lat:24.576457214752576,lng:39.70360550827365},{lat:24.55725026179049,lng:39.707685090074456},{lat:24.557147847419856,lng:39.70710215976821},	24.576406	39.703314	24.537992	39.711472
OEMA	18	{lat:24.563519550154165,lng:39.70371645007661},{lat:24.563492449510132,lng:39.704167549874626},{lat:24.549754954276185,lng:39.70316991602919},{lat:24.549782051951407,lng:39.70271886543239},	24.563506	39.703942	24.536031	39.701947
OEMA	35	{lat:24.538043199065704,lng:39.711763422314334},{lat:24.537940800374315,lng:39.71118057792344},{lat:24.55714784741986,lng:39.70710215976821},{lat:24.557250261790493,lng:39.707685090074456},	24.537992	39.711472	24.576406	39.703314
OEMA	36	{lat:24.536017452478045,lng:39.70217250069171},{lat:24.536044547186684,lng:39.70172149925962},{lat:24.549782051951407,lng:39.70271886543239},{lat:24.549754954276185,lng:39.70316991602919},	24.536031	39.701947	24.563506	39.703942
OIIE	11L	{lat:35.42514705065697,lng:51.12211651820444},{lat:35.42553094928964,lng:51.122277482179136},{lat:35.419436907551926,lng:51.144157183620116},{lat:35.4190530379597,lng:51.143996127560456},	35.425339	51.122197	35.413147	51.165953
OIIE	11R	{lat:35.42349404925135,lng:51.12143052490468},{lat:35.42387795069524,lng:51.121591475478844},{lat:35.417938310822265,lng:51.14291809293008},{lat:35.41755443768164,lng:51.142757052601304},	35.423686	51.121511	35.411803	51.164161
OIIE	29L	{lat:35.41199492238715,lng:51.16424156520543},{lat:35.41161107755934,lng:51.16408043517832},{lat:35.41755443768164,lng:51.142757052601304},{lat:35.417938310822265,lng:51.14291809293008},	35.411803	51.164161	35.423686	51.121511
OIIE	29R	{lat:35.413338920244094,lng:51.166033574234596},{lat:35.412955079702385,lng:51.1658724261492},{lat:35.4190530379597,lng:51.143996127560456},{lat:35.419436907551926,lng:51.144157183620116},	35.413147	51.165953	35.425339	51.122197
OMDB	12L	{lat:25.266513797450294,lng:55.346443979378726},{lat:25.266974202385708,lng:55.346756021213025},{lat:25.25675182775144,lng:55.365195095096105},{lat:25.256291461575735,lng:55.364883009619696},	25.266744	55.346600	25.246297	55.383475
