airport	runway	bbox
OEMA	36	{lat:24.53601763311386,lng:39.70216949401648},{lat:24.53604436655975,lng:39.701724505936134},{lat:24.5497818713047,lng:39.70272187243667},{lat:24.549755134931775,lng:39.703166909026194}
OIIE	11L	{lat:35.425147050656676,lng:51.12211651820433},{lat:35.425530949289936,lng:51.122277482179264},{lat:35.41943690755221,lng:51.144157183620244},{lat:35.419053037959415,lng:51.14399612756033}
OIIE	29R	{lat:35.413338920244385,lng:51.16603357423472},{lat:35.4129550797021,lng:51.16587242614908},{lat:35.419053037959415,lng:51.14399612756033},{lat:35.41943690755221,lng:51.144157183620244}
OIIE	11R	{lat:35.42349405019144,lng:51.12143052152689},{lat:35.423877949755166,lng:51.12159147885665},{lat:35.41858242697219,lng:51.14060526885438},{lat:35.418198552642686,lng:51.14044423150302}
OIIE	29L	{lat:35.4132839245171,lng:51.15961655885598},{lat:35.412900075429405,lng:51.15945544152775},{lat:35.418198552642686,lng:51.14044423150302},{lat:35.41858242697219,lng:51.14060526885438}
OMDB	12L	{lat:25.264397811445637,lng:55.35026595685081},{lat:25.264858188390335,lng:55.35057804374092},{lat:25.256398955958506,lng:55.365833624385964},{lat:25.255938611084783,lng:55.36552150140101}
OMDB	30R	{lat:25.24793815632364,lng:55.38108707981936},{lat:25.24747784351233,lng:55.38077492077198},{lat:25.255938611084783,lng:55.36552150140101},{lat:25.256398955958506,lng:55.365833624385964}
OMDB	12R	{lat:25.252605800384824,lng:55.364218991952875},{lat:25.25306619945127,lng:55.36453100863845},{lat:25.24460846661022,lng:55.37978508841748},{lat:25.24414809959352,lng:55.37947303565045}
OMDB	30L	{lat:25.23614916740581,lng:55.3950370447035},{lat:25.23568883243028,lng:55.394724955887426},{lat:25.24414809959352,lng:55.37947303565045},{lat:25.24460846661022,lng:55.37978508841748}
OOMS	08L	{lat:23.60563903282748,lng:58.25799476725756},{lat:23.606176967168267,lng:58.25794323263675},{lat:23.607683595396097,lng:58.27668755553967},{lat:23.607145654873385,lng:58.276739013841535}
OOMS	26R	{lat:23.609187973345843,lng:58.29543230896076},{lat:23.608650026649936,lng:58.29548369093382},{lat:23.607145654873385,lng:58.276739013841535},{lat:23.607683595396097,lng:58.27668755553967}
OPIS	10L	{lat:33.55285063877391,lng:72.80642709109974},{lat:33.553249361209865,lng:72.80651690910753},{lat:33.55021486462224,lng:72.82590263342527},{lat:33.54981615619045,lng:72.82581272910875}
OPIS	28R	{lat:33.54717734719975,lng:72.84528699540364},{lat:33.54677865278396,lng:72.84519700480396},{lat:33.54981615619045,lng:72.82581272910875},{lat:33.55021486462224,lng:72.82590263342527}
OPIS	10R	{lat:33.550923634546244,lng:72.80599822071058},{lat:33.55145436542502,lng:72.80611777965662},{lat:33.54841986624461,lng:72.82550201815243},{lat:33.54788915400517,lng:72.82538234434018}
OPIS	28L	{lat:33.54538234677776,lng:72.84488489450614},{lat:33.544851653193405,lng:72.84476510586167},{lat:33.54788915400517,lng:72.82538234434018},{lat:33.54841986624461,lng:72.82550201815243}
OPKC	07L	{lat:24.90449466531865,lng:67.14756734883974},{lat:24.90489333465626,lng:67.14744465096209},{lat:24.908754116401308,lng:67.16269669651929},{lat:24.908355434590042,lng:67.16281934895791}
OPKC	25R	{lat:24.91261334712872,lng:67.17794969640894},{lat:24.91221465284622,lng:67.17807230339294},{lat:24.908355434590042,lng:67.16281934895791},{lat:24.908754116401308,lng:67.16269669651929}
OPKC	07R	{lat:24.900401684922745,lng:67.1427163617556},{lat:24.900792315052968,lng:67.14259563805336},{lat:24.904910196322316,lng:67.15879512122416},{lat:24.90451955315842,lng:67.15891579767992}
OPKC	25L	{lat:24.909026328085332,lng:67.17499568530853},{lat:24.908635671890412,lng:67.17511631450051},{lat:24.90451955315842,lng:67.15891579767992},{lat:24.904910196322316,lng:67.15879512122416}
OPLA	18L	{lat:31.536653162549264,lng:74.40460120999263},{lat:31.536646836992112,lng:74.4050867899909},{lat:31.521557837787782,lng:74.4048162070855},{lat:31.521564162323017,lng:74.40433070551622}
OPLA	36R	{lat:31.50646883801391,lng:74.40454571159144},{lat:31.506475161527995,lng:74.40406028839213},{lat:31.521564162323017,lng:74.40433070551622},{lat:31.521557837787782,lng:74.4048162070855}
OPLA	18R	{lat:31.533920153836142,lng:74.40258821694323},{lat:31.53391384570525,lng:74.4030737830404},{lat:31.521552346312742,lng:74.40285272167316},{lat:31.521558653608775,lng:74.40236721982383}
OPLA	36L	{lat:31.509190846540083,lng:74.40263171881236},{lat:31.509197153001768,lng:74.40214628117127},{lat:31.521558653608775,lng:74.40236721982383},{lat:31.521552346312742,lng:74.40285272167316}
RCTP	05L	{lat:25.07269019149638,lng:121.21618151957182},{lat:25.073097808247507,lng:121.21579047977743},{lat:25.083899957692147,lng:121.229517273956},{lat:25.083492304976172,lng:121.22990830254835}
RCTP	05R	{lat:25.061227205240463,lng:121.22444251873605},{lat:25.06163479450352,lng:121.22405148061357},{lat:25.071521339426884,lng:121.23661147180783},{lat:25.07111371726759,lng:121.23700249969717}
RCTP	23L	{lat:25.081406827406667,lng:121.24917349085582},{lat:25.0809991723372,lng:121.24956450849311},{lat:25.07111371726759,lng:121.23700249969714},{lat:25.071521339426884,lng:121.2366114718078}
RCTP	23R	{lat:25.09470084422061,lng:121.24324649099046},{lat:25.094293155523165,lng:121.24363750835809},{lat:25.083492304976172,lng:121.22990830254837},{lat:25.083899957692147,lng:121.22951727395602}
RJAA	16L	{lat:35.805063416878816,lng:140.37782081854579},{lat:35.80533658243822,lng:140.37839518244186},{lat:35.79562826965437,lng:140.3854140169262},{lat:35.79535513747561,lng:140.38483969908512}
RJAA	34R	{lat:35.78591954906504,lng:140.39243113639148},{lat:35.78564645025235,lng:140.39185686459507},{lat:35.795355137475624,lng:140.38483969908512},{lat:35.79562826965437,lng:140.3854140169262}
